Tipo de Unidade,Unidade,Categoria,racacor,Total
A - Ensino e Pesquisa,EACH,Graduação,Amar,270
A - Ensino e Pesquisa,EACH,Graduação,Bran,2713
A - Ensino e Pesquisa,EACH,Graduação,Indig,8
A - Ensino e Pesquisa,EACH,Graduação,Pard,1073
A - Ensino e Pesquisa,EACH,Graduação,Pret,415
A - Ensino e Pesquisa,EACH,Graduação,N/I,213
A - Ensino e Pesquisa,EACH,Pós-Graduação,Amar,28
A - Ensino e Pesquisa,EACH,Pós-Graduação,Bran,420
A - Ensino e Pesquisa,EACH,Pós-Graduação,Indig,3
A - Ensino e Pesquisa,EACH,Pós-Graduação,Pard,112
A - Ensino e Pesquisa,EACH,Pós-Graduação,Pret,63
A - Ensino e Pesquisa,EACH,Pós-Graduação,N/I,779
A - Ensino e Pesquisa,EACH,Pós-Doutorando,Amar,1
A - Ensino e Pesquisa,EACH,Pós-Doutorando,Bran,16
A - Ensino e Pesquisa,EACH,Pós-Doutorando,Indig,1
A - Ensino e Pesquisa,EACH,Pós-Doutorando,Pard,3
A - Ensino e Pesquisa,EACH,Pós-Doutorando,Pret,0
A - Ensino e Pesquisa,EACH,Pós-Doutorando,N/I,88
A - Ensino e Pesquisa,ECA,Graduação,Amar,93
A - Ensino e Pesquisa,ECA,Graduação,Bran,1453
A - Ensino e Pesquisa,ECA,Graduação,Indig,4
A - Ensino e Pesquisa,ECA,Graduação,Pard,438
A - Ensino e Pesquisa,ECA,Graduação,Pret,174
A - Ensino e Pesquisa,ECA,Graduação,N/I,202
A - Ensino e Pesquisa,ECA,Pós-Graduação,Amar,13
A - Ensino e Pesquisa,ECA,Pós-Graduação,Bran,221
A - Ensino e Pesquisa,ECA,Pós-Graduação,Indig,1
A - Ensino e Pesquisa,ECA,Pós-Graduação,Pard,29
A - Ensino e Pesquisa,ECA,Pós-Graduação,Pret,11
A - Ensino e Pesquisa,ECA,Pós-Graduação,N/I,706
A - Ensino e Pesquisa,ECA,Pós-Doutorando,Amar,1
A - Ensino e Pesquisa,ECA,Pós-Doutorando,Bran,31
A - Ensino e Pesquisa,ECA,Pós-Doutorando,Indig,0
A - Ensino e Pesquisa,ECA,Pós-Doutorando,Pard,5
A - Ensino e Pesquisa,ECA,Pós-Doutorando,Pret,2
A - Ensino e Pesquisa,ECA,Pós-Doutorando,N/I,43
A - Ensino e Pesquisa,EE,Graduação,Amar,20
A - Ensino e Pesquisa,EE,Graduação,Bran,268
A - Ensino e Pesquisa,EE,Graduação,Indig,1
A - Ensino e Pesquisa,EE,Graduação,Pard,90
A - Ensino e Pesquisa,EE,Graduação,Pret,34
A - Ensino e Pesquisa,EE,Graduação,N/I,15
A - Ensino e Pesquisa,EE,Pós-Graduação,Amar,4
A - Ensino e Pesquisa,EE,Pós-Graduação,Bran,216
A - Ensino e Pesquisa,EE,Pós-Graduação,Indig,0
A - Ensino e Pesquisa,EE,Pós-Graduação,Pard,64
A - Ensino e Pesquisa,EE,Pós-Graduação,Pret,23
A - Ensino e Pesquisa,EE,Pós-Graduação,N/I,65
A - Ensino e Pesquisa,EE,Pós-Doutorando,Amar,0
A - Ensino e Pesquisa,EE,Pós-Doutorando,Bran,14
A - Ensino e Pesquisa,EE,Pós-Doutorando,Indig,0
A - Ensino e Pesquisa,EE,Pós-Doutorando,Pard,0
A - Ensino e Pesquisa,EE,Pós-Doutorando,Pret,1
A - Ensino e Pesquisa,EE,Pós-Doutorando,N/I,13
A - Ensino e Pesquisa,EEFE,Graduação,Amar,27
A - Ensino e Pesquisa,EEFE,Graduação,Bran,317
A - Ensino e Pesquisa,EEFE,Graduação,Indig,1
A - Ensino e Pesquisa,EEFE,Graduação,Pard,75
A - Ensino e Pesquisa,EEFE,Graduação,Pret,34
A - Ensino e Pesquisa,EEFE,Graduação,N/I,19
A - Ensino e Pesquisa,EEFE,Pós-Graduação,Amar,1
A - Ensino e Pesquisa,EEFE,Pós-Graduação,Bran,30
A - Ensino e Pesquisa,EEFE,Pós-Graduação,Indig,0
A - Ensino e Pesquisa,EEFE,Pós-Graduação,Pard,1
A - Ensino e Pesquisa,EEFE,Pós-Graduação,Pret,4
A - Ensino e Pesquisa,EEFE,Pós-Graduação,N/I,100
A - Ensino e Pesquisa,EEFE,Pós-Doutorando,Amar,0
A - Ensino e Pesquisa,EEFE,Pós-Doutorando,Bran,4
A - Ensino e Pesquisa,EEFE,Pós-Doutorando,Indig,0
A - Ensino e Pesquisa,EEFE,Pós-Doutorando,Pard,0
A - Ensino e Pesquisa,EEFE,Pós-Doutorando,Pret,0
A - Ensino e Pesquisa,EEFE,Pós-Doutorando,N/I,11
A - Ensino e Pesquisa,EEFERP,Graduação,Amar,4
A - Ensino e Pesquisa,EEFERP,Graduação,Bran,182
A - Ensino e Pesquisa,EEFERP,Graduação,Indig,0
A - Ensino e Pesquisa,EEFERP,Graduação,Pard,51
A - Ensino e Pesquisa,EEFERP,Graduação,Pret,17
A - Ensino e Pesquisa,EEFERP,Graduação,N/I,22
A - Ensino e Pesquisa,EEFERP,Pós-Graduação,Amar,0
A - Ensino e Pesquisa,EEFERP,Pós-Graduação,Bran,37
A - Ensino e Pesquisa,EEFERP,Pós-Graduação,Indig,0
A - Ensino e Pesquisa,EEFERP,Pós-Graduação,Pard,7
A - Ensino e Pesquisa,EEFERP,Pós-Graduação,Pret,0
A - Ensino e Pesquisa,EEFERP,Pós-Graduação,N/I,19
A - Ensino e Pesquisa,EEFERP,Pós-Doutorando,Amar,0
A - Ensino e Pesquisa,EEFERP,Pós-Doutorando,Bran,0
A - Ensino e Pesquisa,EEFERP,Pós-Doutorando,Indig,0
A - Ensino e Pesquisa,EEFERP,Pós-Doutorando,Pard,0
A - Ensino e Pesquisa,EEFERP,Pós-Doutorando,Pret,0
A - Ensino e Pesquisa,EEFERP,Pós-Doutorando,N/I,7
A - Ensino e Pesquisa,EEL,Graduação,Amar,94
A - Ensino e Pesquisa,EEL,Graduação,Bran,1575
A - Ensino e Pesquisa,EEL,Graduação,Indig,3
A - Ensino e Pesquisa,EEL,Graduação,Pard,340
A - Ensino e Pesquisa,EEL,Graduação,Pret,67
A - Ensino e Pesquisa,EEL,Graduação,N/I,89
A - Ensino e Pesquisa,EEL,Pós-Graduação,Amar,0
A - Ensino e Pesquisa,EEL,Pós-Graduação,Bran,65
A - Ensino e Pesquisa,EEL,Pós-Graduação,Indig,1
A - Ensino e Pesquisa,EEL,Pós-Graduação,Pard,9
A - Ensino e Pesquisa,EEL,Pós-Graduação,Pret,1
A - Ensino e Pesquisa,EEL,Pós-Graduação,N/I,286
A - Ensino e Pesquisa,EEL,Pós-Doutorando,Amar,0
A - Ensino e Pesquisa,EEL,Pós-Doutorando,Bran,12
A - Ensino e Pesquisa,EEL,Pós-Doutorando,Indig,0
A - Ensino e Pesquisa,EEL,Pós-Doutorando,Pard,0
A - Ensino e Pesquisa,EEL,Pós-Doutorando,Pret,1
A - Ensino e Pesquisa,EEL,Pós-Doutorando,N/I,10
A - Ensino e Pesquisa,EERP,Graduação,Amar,10
A - Ensino e Pesquisa,EERP,Graduação,Bran,373
A - Ensino e Pesquisa,EERP,Graduação,Indig,1
A - Ensino e Pesquisa,EERP,Graduação,Pard,128
A - Ensino e Pesquisa,EERP,Graduação,Pret,39
A - Ensino e Pesquisa,EERP,Graduação,N/I,47
A - Ensino e Pesquisa,EERP,Pós-Graduação,Amar,3
A - Ensino e Pesquisa,EERP,Pós-Graduação,Bran,346
A - Ensino e Pesquisa,EERP,Pós-Graduação,Indig,0
A - Ensino e Pesquisa,EERP,Pós-Graduação,Pard,57
A - Ensino e Pesquisa,EERP,Pós-Graduação,Pret,32
A - Ensino e Pesquisa,EERP,Pós-Graduação,N/I,217
A - Ensino e Pesquisa,EERP,Pós-Doutorando,Amar,0
A - Ensino e Pesquisa,EERP,Pós-Doutorando,Bran,18
A - Ensino e Pesquisa,EERP,Pós-Doutorando,Indig,0
A - Ensino e Pesquisa,EERP,Pós-Doutorando,Pard,0
A - Ensino e Pesquisa,EERP,Pós-Doutorando,Pret,0
A - Ensino e Pesquisa,EERP,Pós-Doutorando,N/I,33
A - Ensino e Pesquisa,EESC,Graduação,Amar,134
A - Ensino e Pesquisa,EESC,Graduação,Bran,1941
A - Ensino e Pesquisa,EESC,Graduação,Indig,3
A - Ensino e Pesquisa,EESC,Graduação,Pard,383
A - Ensino e Pesquisa,EESC,Graduação,Pret,88
A - Ensino e Pesquisa,EESC,Graduação,N/I,70
A - Ensino e Pesquisa,EESC,Pós-Graduação,Amar,25
A - Ensino e Pesquisa,EESC,Pós-Graduação,Bran,451
A - Ensino e Pesquisa,EESC,Pós-Graduação,Indig,1
A - Ensino e Pesquisa,EESC,Pós-Graduação,Pard,78
A - Ensino e Pesquisa,EESC,Pós-Graduação,Pret,20
A - Ensino e Pesquisa,EESC,Pós-Graduação,N/I,551
A - Ensino e Pesquisa,EESC,Pós-Doutorando,Amar,1
A - Ensino e Pesquisa,EESC,Pós-Doutorando,Bran,35
A - Ensino e Pesquisa,EESC,Pós-Doutorando,Indig,0
A - Ensino e Pesquisa,EESC,Pós-Doutorando,Pard,3
A - Ensino e Pesquisa,EESC,Pós-Doutorando,Pret,0
A - Ensino e Pesquisa,EESC,Pós-Doutorando,N/I,73
A - Ensino e Pesquisa,EP,Graduação,Amar,317
A - Ensino e Pesquisa,EP,Graduação,Bran,2350
A - Ensino e Pesquisa,EP,Graduação,Indig,4
A - Ensino e Pesquisa,EP,Graduação,Pard,609
A - Ensino e Pesquisa,EP,Graduação,Pret,153
A - Ensino e Pesquisa,EP,Graduação,N/I,1646
A - Ensino e Pesquisa,EP,Pós-Graduação,Amar,35
A - Ensino e Pesquisa,EP,Pós-Graduação,Bran,488
A - Ensino e Pesquisa,EP,Pós-Graduação,Indig,6
A - Ensino e Pesquisa,EP,Pós-Graduação,Pard,69
A - Ensino e Pesquisa,EP,Pós-Graduação,Pret,28
A - Ensino e Pesquisa,EP,Pós-Graduação,N/I,2226
A - Ensino e Pesquisa,EP,Pós-Doutorando,Amar,5
A - Ensino e Pesquisa,EP,Pós-Doutorando,Bran,44
A - Ensino e Pesquisa,EP,Pós-Doutorando,Indig,0
A - Ensino e Pesquisa,EP,Pós-Doutorando,Pard,3
